#{"t_start": 1649942095.82755, "env_id": "PointToPoint-v0"}
r,l,t
-2242.286129,2001,10601.879963
-661.958711,2001,10635.87752
-2087.733705,2001,10669.870264
-1666.294942,2001,10703.928217
-1866.871794,2001,10737.973158
-356.93868,2001,10771.962164
-253.247972,2001,10805.82878
-184.3121,2001,10839.960694
-364.030634,2001,10873.976996
-272.677818,2001,10908.815286
-241.035709,2001,10943.772007
-258.744914,2001,10978.083735
-204.403766,2001,11012.488233
-175.807701,2001,11046.745036
-145.100739,2001,11081.279586
-224.457465,2001,11115.627614
-146.622876,2001,11149.802926
-232.104795,2001,11184.89834
-170.265714,2001,11219.876165
-234.977049,2001,11254.126028
-267.109101,2001,11288.47723
-135.467192,2001,11322.898406
-209.573792,2001,11357.147875
-179.155697,2001,11391.822425
-170.316012,2001,11426.2232
-230.229456,2001,11460.510796
-176.450049,2001,11494.913906
-485.322928,2001,11529.1371
-134.827202,2001,11563.361187
-397.1636,2001,11597.688197
-176.314149,2001,11631.906835
-1010.373463,2001,11666.092797
-851.484299,2001,11700.275794
-1277.718683,2001,11734.519632
-1203.767563,2001,11768.616838
-912.379404,2001,11802.893218
-401.454103,2001,11837.090194
-1478.380897,2001,11871.186242
-433.239584,2001,11905.301164
-284.575322,2001,11939.454889
-1280.137619,2001,11973.817595
-1433.983248,2001,12008.310704
-1226.111434,2001,12043.039305
-1237.689585,2001,12077.681598
-1154.572574,2001,12112.255753
-1659.492779,2001,12146.571224
-1011.389412,2001,12180.620363
-971.4081,2001,12215.065188
-415.863561,2001,12249.438173
-323.460838,2001,12283.525254
-241.985634,2001,12317.821942
-268.489829,2001,12352.047629
-140.394154,2001,12386.695213
-185.133726,2001,12421.033208
-235.770207,2001,12455.467959
-181.834583,2001,12489.820836
-150.989503,2001,12524.210993
-228.762807,2001,12558.553946
-322.868992,2001,12592.784366
-233.637889,2001,12627.006345
-126.043118,2001,12661.339316
-216.83522,2001,12695.56646
-260.284268,2001,12729.885899
-361.306146,2001,12764.213562
-257.804686,2001,12798.435997
-361.992275,2001,12832.645858
-219.030749,2001,12866.95196
-200.214173,2001,12900.979823
-146.283776,2001,12935.261911
-238.649414,2001,12969.378777
-283.793291,2001,13003.609069
-197.200336,2001,13037.878897
-350.878347,2001,13071.869547
-272.307886,2001,13106.027316
-209.06356,2001,13139.985185
-243.894648,2001,13174.081377
-356.108595,2001,13212.241393
-179.262415,2001,13246.478784
-350.22129,2001,13281.245871
-299.894729,2001,13315.195661
-351.977908,2001,13349.312545
-195.630405,2001,13383.419479
-165.636533,2001,13417.577489
-434.155798,2001,13451.645463
-196.504909,2001,13485.79541
-342.262922,2001,13520.035007
-256.855387,2001,13554.031775
-242.754956,2001,13588.109931
-266.184333,2001,13621.989101
-556.061963,2001,13656.102717
-205.000776,2001,13690.116118
-281.62137,2001,13724.215626
-215.403928,2001,13758.117918
-203.812396,2001,13792.010916
-266.137713,2001,13825.901629
-189.985669,2001,13859.805942
-163.760537,2001,13893.787599
-313.453553,2001,13927.746826
-317.374597,2001,13961.723452
-271.476613,2001,13995.767725
-210.278462,2001,14029.796205
-350.110353,2001,14063.808606
-211.952722,2001,14097.816993
-136.576168,2001,14131.859252
-350.184767,2001,14165.75251
-243.941321,2001,14199.768927
-125.232853,2001,14234.197795
-137.725386,2001,14268.113906
-171.400758,2001,14302.371697
-352.72879,2001,14336.508027
-269.510695,2001,14370.321539
-299.666608,2001,14404.129169
-134.173233,2001,14438.294106
-136.02791,2001,14472.64669
-274.470594,2001,14507.065277
-338.164694,2001,14541.504063
-186.296123,2001,14575.552319
-198.429516,2001,14609.612306
-219.768212,2001,14643.651335
-259.27285,2001,14677.555494
-223.639166,2001,14711.87923
-197.415903,2001,14746.415766
-132.624742,2001,14780.718203
-244.304123,2001,14815.025574
-140.148967,2001,14849.347908
-275.103934,2001,14883.517351
-216.652096,2001,14918.307638
-172.395488,2001,14952.860721
-349.394408,2001,14987.407728
-192.944893,2001,15021.806193
-117.260607,2001,15056.299223
-216.256921,2001,15090.778012
-348.412047,2001,15125.279188
-276.829666,2001,15160.003835
-201.177125,2001,15194.970815
-159.634939,2001,15229.819456
-145.859684,2001,15264.667835
-164.066163,2001,15299.359029
-280.813114,2001,15333.786343
-210.324674,2001,15368.065058
-301.553411,2001,15402.517535
-299.958976,2001,15436.960968
-230.968059,2001,15471.386937
-524.518201,2001,15505.818111
-349.973235,2001,15540.191877
-295.835862,2001,15574.493068
-174.230836,2001,15608.624127
-210.923718,2001,15643.039614
-190.72585,2001,15677.49145
-252.709378,2001,15711.54564
-211.321567,2001,15745.775609
-174.937882,2001,15779.943908
-127.272944,2001,15813.799294
-173.69686,2001,15847.686745
-160.861628,2001,15882.02768
-226.324129,2001,15916.004951
-243.424265,2001,15950.050385
-177.491133,2001,15984.079599
